make,model,powertrain,vehicle_type,dep_annual
Acura,MDX,Gasoline,CUV,0.11100673823263241
Acura,RDX,Gasoline,CUV,0.09427202090472142
Acura,TL,Gasoline,Car,0.07883295186149042
Acura,TLX,Gasoline,Car,0.07436194907812999
Audi,A4,Flex Fuel (E85),Car,0.06927777827693282
Audi,A4,Gasoline,Car,0.0985657491695261
Audi,A5,Flex Fuel (E85),Car,0.053537694128794056
Audi,A5 Cabriolet,Flex Fuel (E85),Car,0.07067091258116431
Audi,A5 Coupe,Flex Fuel (E85),Car,0.06737298926292568
Audi,Allroad,Flex Fuel (E85),Car,0.0865303400484504
Audi,Q3,Gasoline,CUV,0.08419016377298694
Audi,Q4 e-tron,Battery Electric (BEV),CUV,0.10259776184755398
Audi,Q5,Flex Fuel (E85),CUV,0.09835229074233098
Audi,Q5,Gasoline,CUV,0.10643278131817346
Audi,Q5,Hybrid Electric (HEV),CUV,0.08857396599196476
Audi,Q7,Gasoline,CUV,0.1367781835746429
Audi,Q8 e-tron,Battery Electric (BEV),CUV,0.15665095557842934
Audi,e-tron,Battery Electric (BEV),CUV,0.13718977073657113
Audi,e-tron Sportback,Battery Electric (BEV),CUV,0.194038811583217
BMW,3 Series,Gasoline,Car,0.11570978859418468
BMW,3 Series,Hybrid Electric (HEV),Car,0.11884614523177939
BMW,4 Series,Gasoline,Car,0.07955201664375777
BMW,5 Series,Gasoline,Car,0.133106389404554
BMW,5 Series,Hybrid Electric (HEV),Car,0.12993260909294735
BMW,IX,Battery Electric (BEV),CUV,0.07196125342485604
BMW,X1,Gasoline,CUV,0.10002116267141492
BMW,X3,Gasoline,CUV,0.11522773959801136
BMW,X3,Hybrid Electric (HEV),CUV,0.1293947422836602
BMW,X5,Gasoline,CUV,0.12199294124635662
BMW,X7,Gasoline,SUV,0.09627274203634806
BMW,i3,Battery Electric (BEV),Car,0.06910889240396956
BMW,i3,Hybrid Electric (HEV),Car,0.09211913333823973
BMW,i4,Battery Electric (BEV),Car,0.11797904748196542
BMW,i5,Battery Electric (BEV),Car,0.011685632776204269
BMW,i7,Battery Electric (BEV),Car,0.05021151506796184
Buick,Enclave,Gasoline,CUV,0.11198366106389723
Buick,Encore,Gasoline,CUV,0.05817137893656754
Buick,Encore Gx,Gasoline,CUV,0.059320179091309155
Buick,Envision,Gasoline,CUV,0.08974853289387041
Buick,Lacrosse,Flex Fuel (E85),Car,0.06405877461428977
Buick,Lucerne,Flex Fuel (E85),Car,0.09554645062710954
Buick,Regal,Flex Fuel (E85),Car,0.0637750849988945
Buick,Verano,Flex Fuel (E85),Car,0.014440669249658034
Cadillac,ATS,Flex Fuel (E85),Car,0.04849634047993645
Cadillac,CTS Sedan,Flex Fuel (E85),Car,0.05642859671004419
Cadillac,Escalade,Flex Fuel (E85),SUV,0.09266462331491021
Cadillac,Escalade,Gasoline,SUV,0.06719239795724374
Cadillac,Escalade,Hybrid Electric (HEV),SUV,0.11514754057828414
Cadillac,Escalade ESV,Flex Fuel (E85),SUV,0.09844585603313494
Cadillac,Escalade ESV,Gasoline,SUV,0.07192544960451874
Cadillac,Lyriq,Battery Electric (BEV),CUV,0.12330389513411877
Cadillac,SRX,Flex Fuel (E85),CUV,0.07323512870568238
Cadillac,SRX,Gasoline,CUV,0.09329697434936046
Cadillac,Xt5,Gasoline,CUV,0.09204931587319132
Chevrolet,Avalanche,Flex Fuel (E85),Pickup,0.07975412586947173
Chevrolet,Blazer,Gasoline,CUV,0.07573380161776178
Chevrolet,Blazer EV,Battery Electric (BEV),CUV,0.19632653388766652
Chevrolet,Bolt EUV,Battery Electric (BEV),CUV,0.1021958878347824
Chevrolet,Bolt EV,Battery Electric (BEV),Car,0.08969966887941327
Chevrolet,Camaro,Gasoline,Car,0.044791735462492155
Chevrolet,Captiva Sport,Flex Fuel (E85),CUV,0.04661274933023096
Chevrolet,Colorado,Gasoline,Pickup,0.03687930768743242
Chevrolet,Corvette,Gasoline,Car,0.021647786533569247
Chevrolet,Cruze,Gasoline,Car,0.06404384463049084
Chevrolet,Equinox,Flex Fuel (E85),CUV,0.05233220425769547
Chevrolet,Equinox,Gasoline,CUV,0.07506150045942528
Chevrolet,HHR,Flex Fuel (E85),Minivan,0.09435926480368784
Chevrolet,HHR,Gasoline,Minivan,0.02467453438605849
Chevrolet,Impala,Flex Fuel (E85),Car,0.06904903097080617
Chevrolet,Impala,Gasoline,Car,0.048656270210151176
Chevrolet,Impala Limited,Flex Fuel (E85),Car,0.015904561337676815
Chevrolet,Malibu,Flex Fuel (E85),Car,0.10058245473834304
