powertrain,vehicle_type,dep_annual
Battery Electric (BEV),CUV,0.10402025516472557
Battery Electric (BEV),Car,0.1023322502361439
Battery Electric (BEV),Minivan,0.062159645125743124
Battery Electric (BEV),Pickup,0.055734843658559186
Battery Electric (BEV),SUV,0.02428712801241506
Flex Fuel (E85),CUV,0.06586181986327944
Flex Fuel (E85),Car,0.05712966187058377
Flex Fuel (E85),Minivan,0.07188021778079834
Flex Fuel (E85),Pickup,0.04602708634371311
Flex Fuel (E85),SUV,0.09711303308749042
Fuel Cell,CUV,0.2446975084183809
Fuel Cell,Car,0.15197772007288057
Gasoline,CUV,0.08189541239771914
Gasoline,Car,0.06758856882203212
Gasoline,Minivan,0.08062945070217431
Gasoline,Pickup,0.04865226678465184
Gasoline,SUV,0.06314813513139705
Hybrid Electric (HEV),CUV,0.07244652869559742
Hybrid Electric (HEV),Car,0.0717648505377062
Hybrid Electric (HEV),Minivan,0.08438795093719076
Hybrid Electric (HEV),Pickup,0.11700618906062343
Hybrid Electric (HEV),SUV,0.14923997259057087
Plug-In Hybrid Electric (PHEV),CUV,0.047557824885682165
Plug-In Hybrid Electric (PHEV),Car,0.08188241267792351
