age_bin,powertrain,vehicle_type,quantile,rr
13.5,All,All,25,0.807850941681634
13.5,All,All,50,0.9425099917567122
13.5,All,All,75,1.0864973901008428
16.5,All,All,25,0.7596680277851505
16.5,All,All,50,0.9008759032357918
16.5,All,All,75,1.0467636938921636
19.5,All,All,25,0.6967448959516004
19.5,All,All,50,0.8365608664108123
19.5,All,All,75,1.001126669872038
22.5,All,All,25,0.6928855314215874
22.5,All,All,50,0.8359188237246034
22.5,All,All,75,1.0026122036519451
25.5,All,All,25,0.6950148468500343
25.5,All,All,50,0.8424856084302519
25.5,All,All,75,1.0004835458233863
28.5,All,All,25,0.6707337275872075
28.5,All,All,50,0.8137632183851415
28.5,All,All,75,0.9636973516244417
31.5,All,All,25,0.6415974938588842
31.5,All,All,50,0.7823961636405413
31.5,All,All,75,0.9370001970057136
34.5,All,All,25,0.6700948863014979
34.5,All,All,50,0.8067897124482547
34.5,All,All,75,0.9504695327302937
37.5,All,All,25,0.6831711501795752
37.5,All,All,50,0.8070674220367248
37.5,All,All,75,0.9413795169006582
40.5,All,All,25,0.6618257848217186
40.5,All,All,50,0.7801564727401762
40.5,All,All,75,0.9085731573609223
43.5,All,All,25,0.6237801368803381
43.5,All,All,50,0.7385590823662291
43.5,All,All,75,0.8711880760496383
46.5,All,All,25,0.6279426459157986
46.5,All,All,50,0.7449318880465804
46.5,All,All,75,0.8764097999633357
49.5,All,All,25,0.6281373558119551
49.5,All,All,50,0.741605548636913
49.5,All,All,75,0.8698562958156286
52.5,All,All,25,0.607907512439056
52.5,All,All,50,0.7205850804303268
52.5,All,All,75,0.848734887974891
55.5,All,All,25,0.5675941534275473
55.5,All,All,50,0.6817469263571113
55.5,All,All,75,0.820653901107957
58.5,All,All,25,0.5672404599350881
58.5,All,All,50,0.6908056206894466
58.5,All,All,75,0.8317974411577823
61.5,All,All,25,0.5637766116719395
61.5,All,All,50,0.6865348267553136
61.5,All,All,75,0.8243519174259364
64.5,All,All,25,0.5445844994122364
64.5,All,All,50,0.6629640973834041
64.5,All,All,75,0.7975400390090516
67.5,All,All,25,0.5053895843084241
67.5,All,All,50,0.6260832340933622
67.5,All,All,75,0.7626945953047114
70.5,All,All,25,0.5054463291598313
70.5,All,All,50,0.6301121472662328
70.5,All,All,75,0.7698635361212912
73.5,All,All,25,0.49976451303556657
73.5,All,All,50,0.6215463047054397
73.5,All,All,75,0.7588171400918067
76.5,All,All,25,0.4829707704694094
76.5,All,All,50,0.6002286759176251
76.5,All,All,75,0.7345249336880343
79.5,All,All,25,0.44654924360521625
79.5,All,All,50,0.5633354572805321
79.5,All,All,75,0.7014083854815033
82.5,All,All,25,0.4492456379269154
82.5,All,All,50,0.5712477314357557
82.5,All,All,75,0.7092785331641667
85.5,All,All,25,0.4441062855569236
85.5,All,All,50,0.563083513605106
85.5,All,All,75,0.6993063096578942
88.5,All,All,25,0.42746076783322867
88.5,All,All,50,0.5437132106443608
88.5,All,All,75,0.6763829199011753
91.5,All,All,25,0.39911619605645465
91.5,All,All,50,0.512061218093433
91.5,All,All,75,0.6461310560712284
