age_years,rr_predicted,make,model,powertrain,vehicle_type
1,0.6309827627779503,bmw,i3,bev,car
1.5,0.6056672456211524,bmw,i3,bev,car
2,0.5813674066202752,bmw,i3,bev,car
2.5,0.5580424959810317,bmw,i3,bev,car
3,0.5356533988224431,bmw,i3,bev,car
3.5,0.5141625695828514,bmw,i3,bev,car
4,0.4935339690576125,bmw,i3,bev,car
4.5,0.4737330039628854,bmw,i3,bev,car
5,0.4547264689241712,bmw,i3,bev,car
1,0.34251001295048966,chevrolet,spark,bev,car
1.5,0.34940821464727534,chevrolet,spark,bev,car
2,0.3564453471339659,chevrolet,spark,bev,car
2.5,0.3636242084969658,chevrolet,spark,bev,car
3,0.3709476531765487,chevrolet,spark,bev,car
3.5,0.37841859310183207,chevrolet,spark,bev,car
4,0.38603999884861134,chevrolet,spark,bev,car
4.5,0.39381490082051246,chevrolet,spark,bev,car
5,0.401746390453933,chevrolet,spark,bev,car
1,0.7013445267871091,chevrolet,bolt ev,bev,car
1.5,0.6696615206010746,chevrolet,bolt ev,bev,car
2,0.6394097837023087,chevrolet,bolt ev,bev,car
2.5,0.6105246589758694,chevrolet,bolt ev,bev,car
3,0.5829444101705192,chevrolet,bolt ev,bev,car
3.5,0.556610089949677,chevrolet,bolt ev,bev,car
4,0.5314654139031241,chevrolet,bolt ev,bev,car
4.5,0.5074566402501897,chevrolet,bolt ev,bev,car
5,0.48453245497730546,chevrolet,bolt ev,bev,car
1,0.5054027604366046,smart,fortwo,bev,car
1.5,0.49445292523100903,smart,fortwo,bev,car
2,0.4837403243668448,smart,fortwo,bev,car
2.5,0.4732598180286079,smart,fortwo,bev,car
3,0.4630063777577897,smart,fortwo,bev,car
3.5,0.4529750840402647,smart,fortwo,bev,car
4,0.44316112394594936,smart,fortwo,bev,car
4.5,0.43355978881959856,smart,fortwo,bev,car
5,0.4241664720216329,smart,fortwo,bev,car
1,0.300504378341484,fiat,500e,bev,car
1.5,0.3028817067799893,fiat,500e,bev,car
2,0.3052778425667792,fiat,500e,bev,car
2.5,0.3076929344891832,fiat,500e,bev,car
3,0.3101271325116062,fiat,500e,bev,car
3.5,0.31258058778484055,fiat,500e,bev,car
4,0.31505345265545204,fiat,500e,bev,car
4.5,0.3175458806752393,fiat,500e,bev,car
5,0.32005802661076904,fiat,500e,bev,car
1,0.7447651870042998,tesla,model 3,bev,car
1.5,0.7237931340318653,tesla,model 3,bev,car
2,0.7034116390145465,tesla,model 3,bev,car
2.5,0.6836040722643101,tesla,model 3,bev,car
3,0.6643542723731986,tesla,model 3,bev,car
3.5,0.6456465330268998,tesla,model 3,bev,car
4,0.6274655901896365,tesla,model 3,bev,car
4.5,0.6097966096499206,tesla,model 3,bev,car
5,0.592625174917009,tesla,model 3,bev,car
1,0.7436744895163531,nissan,leaf,bev,car
1.5,0.6944757797380403,nissan,leaf,bev,car
2,0.6485318717284756,nissan,leaf,bev,car
2.5,0.6056274400329554,nissan,leaf,bev,car
3,0.5655614043197476,nissan,leaf,bev,car
3.5,0.528145986976283,nissan,leaf,bev,car
4,0.49320583305124327,nissan,leaf,bev,car
4.5,0.4605771884179713,nissan,leaf,bev,car
5,0.4301071323075031,nissan,leaf,bev,car
1,0.5657161466306543,volkswagen,e-golf,bev,car
1.5,0.5561196298638045,volkswagen,e-golf,bev,car
2,0.5466859034549902,volkswagen,e-golf,bev,car
2.5,0.5374122059125875,volkswagen,e-golf,bev,car
