age_years,rr_predicted,vehicle_type,powertrain
1,0.7707631095080905,car,bev
1.5,0.7335899744906706,car,bev
2,0.6982096626506668,car,bev
2.5,0.6645357079167085,car,bev
3,0.6324858143896945,car,bev
3.5,0.6019816552195493,car,bev
4,0.572948681181952,car,bev
4.5,0.5453159384872189,car,bev
5,0.5190158953760824,car,bev
1,0.7959460442859747,cuv,bev
1.5,0.7596407006903017,cuv,bev
2,0.7249913461947217,cuv,bev
2.5,0.6919224464665988,cuv,bev
3,0.6603619125072102,cuv,bev
3.5,0.6302409435003509,cuv,bev
4,0.6014938768290572,cuv,bev
4.5,0.5740580449334891,cuv,bev
5,0.5478736386979295,cuv,bev
1,0.8616585926327283,pickup,bev
1.5,0.8423218042070819,pickup,bev
2,0.8234189595612751,pickup,bev
2.5,0.8049403204078571,pickup,bev
3,0.7868763669997664,pickup,bev
3.5,0.7692177932259873,pickup,bev
4,0.7519555018172676,pickup,bev
4.5,0.7350805996594254,pickup,bev
5,0.7185843932118329,pickup,bev
1,0.9213560564764723,suv,bev
1.5,0.9076107493198549,suv,bev
2,0.8940705023758464,suv,bev
2.5,0.8807322564410174,suv,bev
3,0.8675929979508533,suv,bev
3.5,0.8546497582988875,suv,bev
4,0.8418996131659922,suv,bev
4.5,0.8293396818596747,suv,bev
5,0.8169671266632311,suv,bev
1,0.7960545792251608,car,cv
1.5,0.7697836175250469,car,cv
2,0.7443796358620564,car,cv
2.5,0.7198140226309746,car,cv
3,0.6960591104512727,car,cv
3.5,0.6730881450063159,car,cv
4,0.6508752549109244,car,cv
4.5,0.6293954225733475,car,cv
5,0.6086244560188362,car,cv
1,0.8769569778432976,cuv,cv
1.5,0.8412755019079918,cuv,cv
2,0.8070458277794895,cuv,cv
2.5,0.7742088847935037,cuv,cv
3,0.7427080057428604,cuv,cv
3.5,0.7124888290860459,cuv,cv
4,0.683499205134675,cuv,cv
4.5,0.6556891060579886,cuv,cv
5,0.6290105395490727,cuv,cv
1,0.7682669781259986,minivan,cv
1.5,0.7424412531847443,minivan,cv
