powertrain,year,median,q25,q75,IQR,upper,lower
bev,2018,1,0.981310074759701,1,0.018689925240299,1.0280348878604486,0.9532751868992525
bev,2024,0.625,0.5644037783098711,0.6901312593585431,0.12572748104867204,0.8787224809315513,0.37581255673686303
cv,2018,0.30697391530014995,0.2827245424880034,0.3359311672654177,0.053206624777414335,0.4157411044315392,0.20291460532188188
cv,2024,0.33629113552934764,0.30846251757136833,0.3704087119645355,0.061946194393167175,0.46332800355428627,0.21554322598161757
flex,2018,0.37266186282928604,0.3197593868160209,0.43226084089219735,0.11250145407617645,0.601013022006462,0.15100720570175621
flex,2024,0.6745867768595041,0.5618818149032005,0.8048414336648526,0.24295961876165206,1.1692808618073307,0.19744238676072245
hev,2018,0.5180555555555556,0.4734908061425835,0.5933333333333332,0.11984252719074967,0.7730971241194576,0.29372701535645895
hev,2024,0.37834045823681894,0.3404750337688376,0.42427231471846455,0.08379728094962696,0.549968236142905,0.21477911234439714
phev,2018,0.625,0.53125,0.7765358460288412,0.24528584602884118,1.144464615072103,0.16332123095673823
phev,2024,0.625,0.5362426035502958,0.7551020408163265,0.21885943726603063,1.0833911967153724,0.2079534476512499
