inventory_type,powertrain,vehicle_type,n
new,Battery Electric (BEV),CUV,1251117
new,Battery Electric (BEV),Car,353771
new,Battery Electric (BEV),Minivan,7080
new,Battery Electric (BEV),Pickup,116308
new,Battery Electric (BEV),SUV,41337
new,Flex Fuel (E85),CUV,538634
new,Flex Fuel (E85),Car,70128
new,Flex Fuel (E85),Minivan,61750
new,Flex Fuel (E85),Pickup,1100139
new,Flex Fuel (E85),SUV,135183
new,Fuel Cell,CUV,319
new,Fuel Cell,Car,1696
new,Gasoline,CUV,30376331
new,Gasoline,Car,15547728
new,Gasoline,Minivan,1049050
new,Gasoline,Pickup,13141856
new,Gasoline,SUV,8063573
new,Hybrid Electric (HEV),CUV,1229981
new,Hybrid Electric (HEV),Car,1001847
new,Hybrid Electric (HEV),Minivan,462302
new,Hybrid Electric (HEV),Pickup,45967
new,Hybrid Electric (HEV),SUV,107338
new,Plug-In Hybrid Electric (PHEV),CUV,70657
new,Plug-In Hybrid Electric (PHEV),Car,119909
used,Battery Electric (BEV),CUV,458153
used,Battery Electric (BEV),Car,658343
used,Battery Electric (BEV),Minivan,2191
used,Battery Electric (BEV),Pickup,25024
used,Battery Electric (BEV),SUV,8569
used,Diesel,CUV,89344
used,Diesel,Car,252636
used,Diesel,Minivan,523
used,Diesel,Pickup,2452768
used,Diesel,SUV,86542
used,Flex Fuel (E85),CUV,1516495
used,Flex Fuel (E85),Car,1488824
used,Flex Fuel (E85),Minivan,809125
used,Flex Fuel (E85),Pickup,3296743
used,Flex Fuel (E85),SUV,1863025
used,Fuel Cell,CUV,393
used,Fuel Cell,Car,4681
used,Gasoline,CUV,28635223
used,Gasoline,Car,27986167
used,Gasoline,Minivan,1818803
used,Gasoline,Pickup,11199384
used,Gasoline,SUV,9557299
used,Hybrid Electric (HEV),CUV,461398
used,Hybrid Electric (HEV),Car,1267905
used,Hybrid Electric (HEV),Minivan,205209
used,Hybrid Electric (HEV),Pickup,108066
used,Hybrid Electric (HEV),SUV,65904
used,Plug-In Hybrid Electric (PHEV),CUV,90913
used,Plug-In Hybrid Electric (PHEV),Car,201103
used,Plug-In Hybrid Electric (PHEV),Minivan,953
used,Plug-In Hybrid Electric (PHEV),SUV,46958
