age_years,mileage_predicted,vehicle_type,powertrain,coef
2,18240.917164129874,car,bev,6146.364764154065
2.5,21314.099546206908,car,bev,6146.364764154065
3,24387.28192828394,car,bev,6146.364764154065
3.5,27460.464310360974,car,bev,6146.364764154065
4,30533.646692438007,car,bev,6146.364764154065
4.5,33606.82907451504,car,bev,6146.364764154065
5,36680.01145659207,car,bev,6146.364764154065
5.5,39753.1938386691,car,bev,6146.364764154065
6,42826.37622074613,car,bev,6146.364764154065
6.5,45899.55860282317,car,bev,6146.364764154065
7,48972.7409849002,car,bev,6146.364764154065
7.5,52045.92336697723,car,bev,6146.364764154065
8,55119.105749054266,car,bev,6146.364764154065
8.5,58192.288131131296,car,bev,6146.364764154065
9,61265.47051320833,car,bev,6146.364764154065
2,7698.67251882153,pickup,bev,9535.918067678336
2.5,12466.631552660698,pickup,bev,9535.918067678336
3,17234.590586499864,pickup,bev,9535.918067678336
3.5,22002.549620339036,pickup,bev,9535.918067678336
4,26770.5086541782,pickup,bev,9535.918067678336
4.5,31538.467688017372,pickup,bev,9535.918067678336
5,36306.42672185654,pickup,bev,9535.918067678336
5.5,41074.38575569571,pickup,bev,9535.918067678336
6,45842.34478953487,pickup,bev,9535.918067678336
6.5,50610.303823374044,pickup,bev,9535.918067678336
7,55378.26285721321,pickup,bev,9535.918067678336
7.5,60146.22189105238,pickup,bev,9535.918067678336
8,64914.180924891545,pickup,bev,9535.918067678336
8.5,69682.13995873071,pickup,bev,9535.918067678336
9,74450.09899256988,pickup,bev,9535.918067678336
2,19988.946992560333,car,cv,10762.262797034502
2.5,25370.078391077583,car,cv,10762.262797034502
3,30751.209789594832,car,cv,10762.262797034502
3.5,36132.341188112085,car,cv,10762.262797034502
4,41513.47258662934,car,cv,10762.262797034502
4.5,46894.60398514659,car,cv,10762.262797034502
5,52275.735383663836,car,cv,10762.262797034502
5.5,57656.86678218109,car,cv,10762.262797034502
6,63037.99818069834,car,cv,10762.262797034502
6.5,68419.12957921559,car,cv,10762.262797034502
7,73800.26097773285,car,cv,10762.262797034502
7.5,79181.39237625009,car,cv,10762.262797034502
8,84562.52377476734,car,cv,10762.262797034502
8.5,89943.6551732846,car,cv,10762.262797034502
9,95324.78657180184,car,cv,10762.262797034502
2,15630.001919107892,cuv,cv,12140.683547234104
2.5,21700.343692724942,cuv,cv,12140.683547234104
3,27770.685466341994,cuv,cv,12140.683547234104
3.5,33841.02723995905,cuv,cv,12140.683547234104
4,39911.3690135761,cuv,cv,12140.683547234104
4.5,45981.71078719315,cuv,cv,12140.683547234104
5,52052.0525608102,cuv,cv,12140.683547234104
5.5,58122.394334427256,cuv,cv,12140.683547234104
6,64192.73610804431,cuv,cv,12140.683547234104
6.5,70263.07788166136,cuv,cv,12140.683547234104
7,76333.41965527841,cuv,cv,12140.683547234104
7.5,82403.76142889546,cuv,cv,12140.683547234104
8,88474.10320251252,cuv,cv,12140.683547234104
8.5,94544.44497612957,cuv,cv,12140.683547234104
9,100614.78674974662,cuv,cv,12140.683547234104
2,28681.750229483914,minivan,cv,11490.264048126171
2.5,34426.882253546995,minivan,cv,11490.264048126171
3,40172.014277610084,minivan,cv,11490.264048126171
3.5,45917.14630167317,minivan,cv,11490.264048126171
4,51662.27832573625,minivan,cv,11490.264048126171
4.5,57407.41034979934,minivan,cv,11490.264048126171
5,63152.54237386243,minivan,cv,11490.264048126171
5.5,68897.67439792551,minivan,cv,11490.264048126171
6,74642.8064219886,minivan,cv,11490.264048126171
6.5,80387.93844605169,minivan,cv,11490.264048126171
7,86133.07047011478,minivan,cv,11490.264048126171
7.5,91878.20249417785,minivan,cv,11490.264048126171
8,97623.33451824094,minivan,cv,11490.264048126171
8.5,103368.46654230403,minivan,cv,11490.264048126171
9,109113.59856636712,minivan,cv,11490.264048126171
2,16859.27810249989,pickup,cv,13785.176001037
2.5,23751.866103018394,pickup,cv,13785.176001037
3,30644.454103536893,pickup,cv,13785.176001037
3.5,37537.04210405539,pickup,cv,13785.176001037
4,44429.630104573895,pickup,cv,13785.176001037
4.5,51322.21810509239,pickup,cv,13785.176001037
5,58214.80610561089,pickup,cv,13785.176001037
5.5,65107.394106129395,pickup,cv,13785.176001037
6,71999.98210664789,pickup,cv,13785.176001037
6.5,78892.5701071664,pickup,cv,13785.176001037
7,85785.1581076849,pickup,cv,13785.176001037
7.5,92677.7461082034,pickup,cv,13785.176001037
8,99570.33410872189,pickup,cv,13785.176001037
8.5,106462.92210924039,pickup,cv,13785.176001037
9,113355.51010975889,pickup,cv,13785.176001037
2,19152.504491647254,suv,cv,12708.55342630267
2.5,25506.781204798586,suv,cv,12708.55342630267
3,31861.057917949922,suv,cv,12708.55342630267
3.5,38215.33463110126,suv,cv,12708.55342630267
4,44569.61134425259,suv,cv,12708.55342630267
4.5,50923.88805740393,suv,cv,12708.55342630267
5,57278.16477055526,suv,cv,12708.55342630267
5.5,63632.4414837066,suv,cv,12708.55342630267
6,69986.71819685792,suv,cv,12708.55342630267
6.5,76340.99491000926,suv,cv,12708.55342630267
7,82695.2716231606,suv,cv,12708.55342630267
7.5,89049.54833631194,suv,cv,12708.55342630267
8,95403.82504946327,suv,cv,12708.55342630267
8.5,101758.1017626146,suv,cv,12708.55342630267
9,108112.37847576595,suv,cv,12708.55342630267
2,14812.167334387263,car,diesel,8666.567586655752
2.5,19145.45112771514,car,diesel,8666.567586655752
3,23478.734921043015,car,diesel,8666.567586655752
3.5,27812.01871437089,car,diesel,8666.567586655752
4,32145.302507698765,car,diesel,8666.567586655752
4.5,36478.58630102664,car,diesel,8666.567586655752
5,40811.87009435452,car,diesel,8666.567586655752
5.5,45145.1538876824,car,diesel,8666.567586655752
6,49478.43768101027,car,diesel,8666.567586655752
6.5,53811.72147433815,car,diesel,8666.567586655752
7,58145.00526766602,car,diesel,8666.567586655752
