listing_year,powertrain,price_bin,p
2018,bev,$0-$30k,0.004495614035087719
2018,bev,$30k-$40k,0.04775219298245614
2018,bev,$40k-$50k,0.11288377192982456
2018,bev,$50k-$60k,0.058278508771929825
2018,bev,$60k+,0.013267543859649122
2018,cv,$0-$30k,0.8358004385964912
2018,cv,$30k-$40k,0.8677083333333333
2018,cv,$40k-$50k,0.9468201754385965
2018,cv,$50k-$60k,0.940844298245614
2018,cv,$60k+,0.8393092105263158
2018,hev,$0-$30k,0.24928728070175438
2018,hev,$30k-$40k,0.32894736842105265
2018,hev,$40k-$50k,0.2219298245614035
2018,hev,$50k-$60k,0.18728070175438596
2018,hev,$60k+,0.11968201754385965
2018,phev,$0-$30k,0.05010964912280702
2018,phev,$30k-$40k,0.16206140350877193
2018,phev,$40k-$50k,0.17012061403508771
2018,phev,$50k-$60k,0.01864035087719298
2018,phev,$60k+,2.7412280701754384e-4
2019,bev,$0-$30k,0.0050516143202284204
2019,bev,$30k-$40k,0.08697562047001976
2019,bev,$40k-$50k,0.11953656929497035
2019,bev,$50k-$60k,0.06611025697342411
2019,bev,$60k+,0.03788710740171316
2019,cv,$0-$30k,0.8293432901383703
2019,cv,$30k-$40k,0.8608609707884911
2019,cv,$40k-$50k,0.945200966395783
2019,cv,$50k-$60k,0.952339117065671
2019,cv,$60k+,0.8341203602020646
2019,hev,$0-$30k,0.2193608609707885
2019,hev,$30k-$40k,0.2835493081484735
2019,hev,$40k-$50k,0.2342411596749396
2019,hev,$50k-$60k,0.1534702394025917
2019,hev,$60k+,0.10344827586206896
2019,phev,$0-$30k,0.04903360421699978
2019,phev,$30k-$40k,0.1541840544695805
2019,phev,$40k-$50k,0.126455084559631
2019,phev,$50k-$60k,0.005875247089830881
2019,phev,$60k+,2.1963540522732265e-4
2020,bev,$0-$30k,0.012109143748990905
2020,bev,$30k-$40k,0.09918734190840106
2020,bev,$40k-$50k,0.12249071632312578
2020,bev,$50k-$60k,0.07534578332705452
2020,bev,$60k+,0.04919003282923416
2020,cv,$0-$30k,0.8240675959313277
2020,cv,$30k-$40k,0.857327377428556
2020,cv,$40k-$50k,0.9348258974220979
2020,cv,$50k-$60k,0.9497874172541844
2020,cv,$60k+,0.8481782465959852
2020,hev,$0-$30k,0.23055809698078683
2020,hev,$30k-$40k,0.31473010064043916
2020,hev,$40k-$50k,0.32414832355632095
2020,hev,$50k-$60k,0.1794306011517141
2020,hev,$60k+,0.21570421398202466
2020,phev,$0-$30k,0.042139820246488345
2020,phev,$30k-$40k,0.0963887842419676
2020,phev,$40k-$50k,0.06275227382810397
2020,phev,$50k-$60k,3.7672891663527257e-4
2020,phev,$60k+,5.38184166621818e-5
2021,bev,$0-$30k,0.0383424116202072
2021,bev,$30k-$40k,0.14322332585709707
2021,bev,$40k-$50k,0.18898857203887642
2021,bev,$50k-$60k,0.18765352985154332
2021,bev,$60k+,0.16816191391647975
2021,cv,$0-$30k,0.8110114279611236
2021,cv,$30k-$40k,0.8564028623304496
2021,cv,$40k-$50k,0.9403503150699563
2021,cv,$50k-$60k,0.9525793015059276
2021,cv,$60k+,0.8387803054576525
2021,hev,$0-$30k,0.21494179216063228
2021,hev,$30k-$40k,0.3180070490227491
2021,hev,$40k-$50k,0.33680444302039947
2021,hev,$50k-$60k,0.2501335042187333
2021,hev,$60k+,0.39239559970095056
2021,phev,$0-$30k,0.020239239559970094
2021,phev,$30k-$40k,0.06386841824201644
2021,phev,$40k-$50k,0.05575136174303108
2021,phev,$50k-$60k,0.04069208586991349
2021,phev,$60k+,0.002723486062159564
2022,bev,$0-$30k,0.0425282871634803
2022,bev,$30k-$40k,0.1533359344518143
2022,bev,$40k-$50k,0.21639680062426844
2022,bev,$50k-$60k,0.22361490440889584
2022,bev,$60k+,0.26828911431915725
2022,cv,$0-$30k,0.7700448692937963
