listing_year,inventory_type,group_var,group_level,category_var,category_level,p
2018,Used,powertrain,Gasoline,vehicle_type,Pickup,0.8387126102372943
2021,Used,powertrain,Gasoline,vehicle_type,Pickup,0.7811082116745421
2019,Used,powertrain,Gasoline,vehicle_type,Pickup,0.8406556981859821
2020,Used,powertrain,Gasoline,vehicle_type,Pickup,0.8123634935826646
2020,Used,powertrain,Gasoline,vehicle_type,Car,0.9530049817173427
2019,Used,powertrain,Gasoline,vehicle_type,Car,0.9492858434279515
2021,Used,powertrain,Gasoline,vehicle_type,Car,0.9410630744998472
2018,Used,powertrain,Gasoline,vehicle_type,Car,0.9576325120465496
2018,Used,powertrain,Gasoline,vehicle_type,CUV,0.9225687183683365
2020,Used,powertrain,Gasoline,vehicle_type,CUV,0.9220348965618789
2019,Used,powertrain,Gasoline,vehicle_type,CUV,0.9179473271861628
2021,Used,powertrain,Gasoline,vehicle_type,CUV,0.9020382255448198
2021,Used,powertrain,Gasoline,vehicle_type,SUV,0.7930742647577403
2018,Used,powertrain,Gasoline,vehicle_type,SUV,0.8584719823014213
2019,Used,powertrain,Gasoline,vehicle_type,SUV,0.8543964322304586
2020,Used,powertrain,Gasoline,vehicle_type,SUV,0.8357014896071069
2024,Used,powertrain,Gasoline,vehicle_type,Pickup,0.7951612316864798
2022,Used,powertrain,Gasoline,vehicle_type,Pickup,0.7856724346705207
2023,Used,powertrain,Gasoline,vehicle_type,Pickup,0.7823649245524528
2024,Used,powertrain,Gasoline,vehicle_type,SUV,0.8125931581052096
2022,Used,powertrain,Gasoline,vehicle_type,SUV,0.7889340260146088
2023,Used,powertrain,Gasoline,vehicle_type,SUV,0.799581748363951
2022,Used,powertrain,Gasoline,vehicle_type,CUV,0.9044568571540175
2023,Used,powertrain,Gasoline,vehicle_type,CUV,0.9168905154230291
2024,Used,powertrain,Gasoline,vehicle_type,CUV,0.9232013669247828
2022,Used,powertrain,Gasoline,vehicle_type,Car,0.9324049841803055
2024,Used,powertrain,Gasoline,vehicle_type,Car,0.9365797796924419
2023,Used,powertrain,Gasoline,vehicle_type,Car,0.9388306982278389
2018,Used,powertrain,Diesel,vehicle_type,Pickup,0.5622632360517623
2019,Used,powertrain,Diesel,vehicle_type,Pickup,0.581932140059061
2020,Used,powertrain,Diesel,vehicle_type,Pickup,0.527227662028516
2021,Used,powertrain,Diesel,vehicle_type,Pickup,0.5074170721959705
2018,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.1654998939297512
2019,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.20339902368468632
2020,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.1740410807627181
2021,Used,powertrain,Plug-In Hybrid Electric (PHEV),vehicle_type,Car,0.18445118367538849
2024,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.1593957901625041
2023,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.16382123348176458
2022,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.18729737119643763
2024,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.28287345039444506
2022,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.23702199132846374
2023,Used,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.2586670031909715
2018,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.16640906749098403
2020,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.11565927998233086
2021,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.12814726003244234
2019,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.15678298077502562
2018,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.010273661241931084
2021,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.13089780661541717
2020,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.06046774153966968
2019,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.026999337069848733
2021,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.030655664480334768
2020,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.025595720140371543
2019,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.036129693244139095
2018,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.032881777131254356
2024,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.09866579416148617
2023,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.08289314752384215
2022,Used,powertrain,Hybrid Electric (HEV),vehicle_type,SUV,0.06968477793836178
2023,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.4808631848419838
2024,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.47224342894535937
2022,Used,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.4657630561306199
2024,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.6177881993674338
2023,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.640555986226541
2022,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.6567516893871334
2020,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.7175145402341162
2019,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.7474838787440486
2018,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.733824287056399
2021,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.6901991207654512
2023,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.686293244875516
2024,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.6814629003526375
2022,Used,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.7013202609273075
2021,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.4941345181841691
2018,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.5532018062248083
2019,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.5727415175073827
2020,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.5341235367739086
2024,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.561093539826226
2023,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.592258739115542
2022,Used,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.6017538377407132
2019,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.7408847104200567
2020,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.698863775798179
2021,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.6690410701271834
2018,Used,powertrain,Flex Fuel (E85),vehicle_type,SUV,0.7306421795920841
2021,New,powertrain,Gasoline,vehicle_type,Pickup,0.7257823347217772
2018,New,powertrain,Gasoline,vehicle_type,Pickup,0.6927083333333334
2019,New,powertrain,Gasoline,vehicle_type,Pickup,0.6906435317373161
2020,New,powertrain,Gasoline,vehicle_type,Pickup,0.6901673752758194
2019,New,powertrain,Gasoline,vehicle_type,CUV,0.976004831978915
2020,New,powertrain,Gasoline,vehicle_type,CUV,0.9720144233356655
2021,New,powertrain,Gasoline,vehicle_type,CUV,0.9767168642529104
2018,New,powertrain,Gasoline,vehicle_type,CUV,0.9792214912280702
2022,New,powertrain,Gasoline,vehicle_type,Car,0.8216010537099371
2023,New,powertrain,Gasoline,vehicle_type,Car,0.8281139627972687
2024,New,powertrain,Gasoline,vehicle_type,Car,0.8110328638497653
2018,New,powertrain,Gasoline,vehicle_type,SUV,0.7259320175438596
2019,New,powertrain,Gasoline,vehicle_type,SUV,0.7805842301779047
2020,New,powertrain,Gasoline,vehicle_type,SUV,0.7760077498519994
2021,New,powertrain,Gasoline,vehicle_type,SUV,0.778703407027662
2022,New,powertrain,Gasoline,vehicle_type,SUV,0.7554027025708571
2023,New,powertrain,Gasoline,vehicle_type,SUV,0.7527195667530021
2024,New,powertrain,Gasoline,vehicle_type,SUV,0.743755868544601
2022,New,powertrain,Gasoline,vehicle_type,Pickup,0.7100346358358944
2023,New,powertrain,Gasoline,vehicle_type,Pickup,0.7095361431598776
2024,New,powertrain,Gasoline,vehicle_type,Pickup,0.7041784037558686
2022,New,powertrain,Gasoline,vehicle_type,CUV,0.956875945168057
2023,New,powertrain,Gasoline,vehicle_type,CUV,0.9560631033670827
2024,New,powertrain,Gasoline,vehicle_type,CUV,0.953943661971831
2020,New,powertrain,Fuel Cell,vehicle_type,Car,8.610946665949088e-4
2020,New,powertrain,Fuel Cell,vehicle_type,CUV,5.920025832839998e-4
2019,New,powertrain,Fuel Cell,vehicle_type,CUV,3.843619591478146e-4
2018,New,powertrain,Fuel Cell,vehicle_type,CUV,1.0964912280701755e-4
2018,New,powertrain,Flex Fuel (E85),vehicle_type,Car,0.3457236842105263
2019,New,powertrain,Flex Fuel (E85),vehicle_type,Car,0.2566439710081265
2020,New,powertrain,Flex Fuel (E85),vehicle_type,Car,0.12066089015661159
2018,New,powertrain,Fuel Cell,vehicle_type,Car,7.127192982456141e-4
2019,New,powertrain,Fuel Cell,vehicle_type,Car,8.785416209092906e-4
2021,New,powertrain,Fuel Cell,vehicle_type,Car,3.7381181245327354e-4
2021,New,powertrain,Flex Fuel (E85),vehicle_type,Car,0.02344334080956958
2022,New,powertrain,Flex Fuel (E85),vehicle_type,Car,1.9513146982779649e-4
2019,Used,powertrain,Diesel,vehicle_type,CUV,0.1566624480202495
2020,Used,powertrain,Diesel,vehicle_type,CUV,0.14640850082210607
2021,Used,powertrain,Diesel,vehicle_type,CUV,0.1491642569997884
2018,Used,powertrain,Diesel,vehicle_type,CUV,0.13907324908325
2024,Used,powertrain,Diesel,vehicle_type,CUV,0.09204929654269822
2022,Used,powertrain,Diesel,vehicle_type,CUV,0.11931174563493614
2023,Used,powertrain,Diesel,vehicle_type,CUV,0.1114496385368404
2019,Used,powertrain,Diesel,vehicle_type,Car,0.2711384318688604
2018,Used,powertrain,Diesel,vehicle_type,Car,0.23144528290450647
2020,Used,powertrain,Diesel,vehicle_type,Car,0.23976048491987534
2021,Used,powertrain,Diesel,vehicle_type,Car,0.19253826080823752
2023,Used,powertrain,Diesel,vehicle_type,Car,0.16317222232237827
2022,Used,powertrain,Diesel,vehicle_type,Car,0.17757118862544433
2024,Used,powertrain,Diesel,vehicle_type,Car,0.13427491184062237
2018,Used,powertrain,Diesel,vehicle_type,Minivan,0.002757826469072946
2019,Used,powertrain,Diesel,vehicle_type,Minivan,0.001657325378171518
2024,Used,powertrain,Diesel,vehicle_type,Minivan,0.0012542261969680445
2023,Used,powertrain,Diesel,vehicle_type,Minivan,0.001892949214876778
2022,Used,powertrain,Diesel,vehicle_type,Minivan,0.0019921096832154995
2020,Used,powertrain,Diesel,vehicle_type,Minivan,2.9448575425163807e-4
2018,New,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.2725877192982456
2019,New,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.297331429826488
2020,New,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.11463322749044723
2021,New,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.0029370928121328632
2021,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.30220014952472496
2019,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.5096639578300022
2020,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.4042839459663097
2018,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.5428179824561403
2024,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.2255399061032864
2022,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.2577198887750622
2023,New,powertrain,Flex Fuel (E85),vehicle_type,Pickup,0.25359076995526253
2022,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.20713205522220596
2023,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.21784789263009183
2024,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.22295774647887323
2018,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.14391447368421054
2020,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.3366880146386093
2021,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.3394211257075724
2019,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.14386119042389633
2018,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.3762609649122807
2021,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.28361636227704795
2020,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.3173672030568861
2019,New,powertrain,Hybrid Electric (HEV),vehicle_type,Car,0.35602899187349
2023,New,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.15700494466682363
2024,New,powertrain,Flex Fuel (E85),vehicle_type,CUV,0.2035211267605634
2022,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.22210839553148934
2024,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.1684507042253521
2023,New,powertrain,Hybrid Electric (HEV),vehicle_type,CUV,0.19684483164586766
2018,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.1793859649122807
2021,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.1816191391647976
2020,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.12577363973951886
2019,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.0680320667691632
2024,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.12849765258215962
2023,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.16190251942547682
2022,New,powertrain,Hybrid Electric (HEV),vehicle_type,Minivan,0.14503146494950972
2021,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.2641247463419844
2020,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.09111457940907379
2018,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.020668859649122805
2019,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,9.88359323522952e-4
2022,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.0030245377823308454
2023,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,6.592889098186956e-4
2024,New,powertrain,Hybrid Electric (HEV),vehicle_type,Pickup,0.008262910798122065
2022,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.2159876567321589
2023,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.26544556418900644
2024,Used,powertrain,Battery Electric (BEV),vehicle_type,Car,0.26996764459955647
2024,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.24924564656269313
2023,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.20964863256954336
2022,Used,powertrain,Battery Electric (BEV),vehicle_type,CUV,0.15179094566618492
2023,Used,powertrain,Battery Electric (BEV),vehicle_type,SUV,0.008310948457697092
2024,Used,powertrain,Battery Electric (BEV),vehicle_type,SUV,0.019522303413676518
2022,Used,powertrain,Battery Electric (BEV),vehicle_type,SUV,3.710792547166126e-4
2024,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.39611735194677716
2022,Used,powertrain,Flex Fuel (E85),vehicle_type,Minivan,0.4670911292527636
