listing_year,state,year,vehicle_type,avg_price,n_listings,n_make_model_year
2018,AK,2016,pickup,44915.884408451944,1,407
2018,AK,2016,car,31867.347440161146,6,407
2018,AK,2016,suv,57233.702264781394,1,407
2018,AK,2017,car,35670.13036991965,359,407
2018,AK,2017,cuv,42770.37613791691,230,407
2018,AK,2017,minivan,40072.077121165436,25,407
2018,AK,2017,pickup,52027.46342181179,368,407
2018,AK,2017,suv,70851.1403822532,97,407
2018,AK,2018,cuv,41896.273701628226,3048,407
2018,AK,2018,minivan,45911.83171508446,145,407
2018,AK,2018,car,35256.39770793025,1417,407
2018,AK,2018,pickup,57156.05252097226,2409,407
2018,AK,2018,suv,57741.34795123541,1096,407
2018,AK,2019,cuv,44365.42885418899,596,407
2018,AK,2019,minivan,52002.987638474646,40,407
2018,AK,2019,pickup,60734.18123025533,519,407
2018,AK,2019,suv,48213.953935324156,287,407
2018,AK,2019,car,39207.676888626585,221,407
2018,AL,2016,pickup,58704.473695083,19,536
2018,AL,2016,cuv,34011.52036626503,13,536
2018,AL,2016,minivan,31695.336018136393,1,536
2018,AL,2016,car,33179.80612681291,53,536
2018,AL,2016,suv,50671.25508159744,8,536
2018,AL,2017,car,32077.827535164517,2712,536
2018,AL,2017,minivan,39106.76169371157,114,536
2018,AL,2017,cuv,38904.16764248991,1484,536
2018,AL,2017,pickup,47979.389533121495,1620,536
2018,AL,2017,suv,61479.355415253136,856,536
2018,AL,2018,car,31445.86947827222,26401,536
2018,AL,2018,minivan,44539.57872779928,1303,536
2018,AL,2018,cuv,39682.073566141895,23222,536
2018,AL,2018,pickup,50554.01038468634,20030,536
2018,AL,2018,suv,62200.42146007592,8964,536
2018,AL,2019,car,35006.40512762168,4473,536
2018,AL,2019,cuv,46304.71429313818,4977,536
2018,AL,2019,minivan,49612.547510713186,633,536
2018,AL,2019,pickup,56967.651409682265,2905,536
2018,AL,2019,suv,58645.88592517712,2103,536
2018,AR,2016,car,32204.957783011087,58,517
2018,AR,2016,suv,69951.5142738443,16,517
2018,AR,2016,cuv,35795.472400201084,16,517
2018,AR,2016,pickup,53126.11286069993,47,517
2018,AR,2016,minivan,46566.04612899769,1,517
2018,AR,2017,car,30931.857143098252,1808,517
2018,AR,2017,minivan,40835.94316351668,248,517
2018,AR,2017,pickup,49386.06961970715,1789,517
2018,AR,2017,suv,64192.556124123206,667,517
2018,AR,2017,cuv,38169.48836321492,1499,517
2018,AR,2018,car,31678.330611837795,16119,517
2018,AR,2018,minivan,42423.815843250864,1125,517
2018,AR,2018,pickup,52337.524538967205,15207,517
2018,AR,2018,cuv,38431.96898046734,16853,517
