year,state,powertrain,count
2016,Alabama,Battery Electric (BEV),500
2016,Alabama,Biodiesel,0
2016,Alabama,Compressed Natural Gas (CNG),20100
2016,Alabama,Diesel,126500
2016,Alabama,Flex Fuel (E85),428300
2016,Alabama,Fuel Cell,0
2016,Alabama,Gasoline,3777300
2016,Alabama,Hybrid Electric (HEV),29100
2016,Alabama,Methanol,0
2016,Alabama,Plug-In Hybrid Electric (PHEV),900
2016,Alabama,Propane,0
2016,Alabama,Unknown,53900
2016,Alaska,Battery Electric (BEV),200
2016,Alaska,Biodiesel,0
2016,Alaska,Compressed Natural Gas (CNG),4900
2016,Alaska,Diesel,44800
2016,Alaska,Flex Fuel (E85),55700
2016,Alaska,Fuel Cell,0
2016,Alaska,Gasoline,525900
2016,Alaska,Hybrid Electric (HEV),5000
2016,Alaska,Methanol,0
2016,Alaska,Plug-In Hybrid Electric (PHEV),200
2016,Alaska,Propane,0
2016,Alaska,Unknown,19400
2016,Arizona,Battery Electric (BEV),4700
2016,Arizona,Biodiesel,0
2016,Arizona,Compressed Natural Gas (CNG),17500
2016,Arizona,Diesel,179500
2016,Arizona,Flex Fuel (E85),427300
2016,Arizona,Fuel Cell,0
2016,Arizona,Gasoline,4805000
2016,Arizona,Hybrid Electric (HEV),89600
2016,Arizona,Methanol,100
2016,Arizona,Plug-In Hybrid Electric (PHEV),4400
2016,Arizona,Propane,0
2016,Arizona,Unknown,112800
2016,Arkansas,Battery Electric (BEV),200
2016,Arkansas,Biodiesel,0
2016,Arkansas,Compressed Natural Gas (CNG),12600
2016,Arkansas,Diesel,96800
2016,Arkansas,Flex Fuel (E85),320500
2016,Arkansas,Fuel Cell,0
2016,Arkansas,Gasoline,2097800
2016,Arkansas,Hybrid Electric (HEV),19100
2016,Arkansas,Methanol,0
2016,Arkansas,Plug-In Hybrid Electric (PHEV),500
2016,Arkansas,Propane,0
2016,Arkansas,Unknown,22200
2016,California,Battery Electric (BEV),141500
2016,California,Biodiesel,0
2016,California,Compressed Natural Gas (CNG),80600
2016,California,Diesel,710400
2016,California,Flex Fuel (E85),1322600
2016,California,Fuel Cell,1300
2016,California,Gasoline,27241000
2016,California,Hybrid Electric (HEV),966700
2016,California,Methanol,400
2016,California,Plug-In Hybrid Electric (PHEV),116700
2016,California,Propane,0
2016,California,Unknown,115500
2016,Colorado,Battery Electric (BEV),5300
2016,Colorado,Biodiesel,0
2016,Colorado,Compressed Natural Gas (CNG),15900
2016,Colorado,Diesel,226800
2016,Colorado,Flex Fuel (E85),355500
2016,Colorado,Fuel Cell,0
2016,Colorado,Gasoline,4180500
2016,Colorado,Hybrid Electric (HEV),74000
2016,Colorado,Methanol,0
2016,Colorado,Plug-In Hybrid Electric (PHEV),3800
2016,Colorado,Propane,0
2016,Colorado,Unknown,89900
2016,Connecticut,Battery Electric (BEV),2000
2016,Connecticut,Biodiesel,0
2016,Connecticut,Compressed Natural Gas (CNG),3200
2016,Connecticut,Diesel,59700
2016,Connecticut,Flex Fuel (E85),160800
2016,Connecticut,Fuel Cell,0
2016,Connecticut,Gasoline,2690900
2016,Connecticut,Hybrid Electric (HEV),43200
2016,Connecticut,Methanol,0
2016,Connecticut,Plug-In Hybrid Electric (PHEV),2800
2016,Connecticut,Propane,0
2016,Connecticut,Unknown,30200
2016,Delaware,Battery Electric (BEV),300
2016,Delaware,Biodiesel,0
2016,Delaware,Compressed Natural Gas (CNG),1400
2016,Delaware,Diesel,17000
2016,Delaware,Flex Fuel (E85),68300
2016,Delaware,Fuel Cell,0
2016,Delaware,Gasoline,749800
2016,Delaware,Hybrid Electric (HEV),11200
2016,Delaware,Methanol,0
2016,Delaware,Plug-In Hybrid Electric (PHEV),700
2016,Delaware,Propane,0
2016,Delaware,Unknown,7200
2016,District of Columbia,Battery Electric (BEV),600
2016,District of Columbia,Biodiesel,0
2016,District of Columbia,Compressed Natural Gas (CNG),300
2016,District of Columbia,Diesel,3200
2016,District of Columbia,Flex Fuel (E85),17600
2016,District of Columbia,Fuel Cell,0
2016,District of Columbia,Gasoline,277800
2016,District of Columbia,Hybrid Electric (HEV),11800
2016,District of Columbia,Methanol,0
2016,District of Columbia,Plug-In Hybrid Electric (PHEV),500
2016,District of Columbia,Propane,0
2016,District of Columbia,Unknown,1300
2016,Florida,Battery Electric (BEV),11600
2016,Florida,Biodiesel,0
2016,Florida,Compressed Natural Gas (CNG),18000
2016,Florida,Diesel,353300
2016,Florida,Flex Fuel (E85),1168900
2016,Florida,Fuel Cell,0
2016,Florida,Gasoline,13929200
2016,Florida,Hybrid Electric (HEV),207100
2016,Florida,Methanol,0
2016,Florida,Plug-In Hybrid Electric (PHEV),10100
2016,Florida,Propane,0
2016,Florida,Unknown,133600
2016,Georgia,Battery Electric (BEV),18000
2016,Georgia,Biodiesel,0
2016,Georgia,Compressed Natural Gas (CNG),26900
2016,Georgia,Diesel,206700
2016,Georgia,Flex Fuel (E85),710700
2016,Georgia,Fuel Cell,0
2016,Georgia,Gasoline,7377700
2016,Georgia,Hybrid Electric (HEV),86400
2016,Georgia,Methanol,0
2016,Georgia,Plug-In Hybrid Electric (PHEV),4000
2016,Georgia,Propane,0
2016,Georgia,Unknown,114800
2016,Hawaii,Battery Electric (BEV),4200
2016,Hawaii,Biodiesel,0
2016,Hawaii,Compressed Natural Gas (CNG),1500
2016,Hawaii,Diesel,17800
2016,Hawaii,Flex Fuel (E85),43600
2016,Hawaii,Fuel Cell,0
2016,Hawaii,Gasoline,953300
2016,Hawaii,Hybrid Electric (HEV),22600
2016,Hawaii,Methanol,0
2016,Hawaii,Plug-In Hybrid Electric (PHEV),1200
2016,Hawaii,Propane,0
2016,Hawaii,Unknown,7400
2016,Idaho,Battery Electric (BEV),400
2016,Idaho,Biodiesel,0
2016,Idaho,Compressed Natural Gas (CNG),12800
2016,Idaho,Diesel,123000
2016,Idaho,Flex Fuel (E85),107100
2016,Idaho,Fuel Cell,0
2016,Idaho,Gasoline,1354300
2016,Idaho,Hybrid Electric (HEV),16300
2016,Idaho,Methanol,0
2016,Idaho,Plug-In Hybrid Electric (PHEV),600
2016,Idaho,Propane,0
2016,Idaho,Unknown,56200
2016,Illinois,Battery Electric (BEV),5800
2016,Illinois,Biodiesel,0
2016,Illinois,Compressed Natural Gas (CNG),18500
2016,Illinois,Diesel,200900
2016,Illinois,Flex Fuel (E85),968600
2016,Illinois,Fuel Cell,0
2016,Illinois,Gasoline,8748600
2016,Illinois,Hybrid Electric (HEV),146500
2016,Illinois,Methanol,0
2016,Illinois,Plug-In Hybrid Electric (PHEV),6000
2016,Illinois,Propane,0
2016,Illinois,Unknown,94500
2016,Indiana,Battery Electric (BEV),1300
2016,Indiana,Biodiesel,0
2016,Indiana,Compressed Natural Gas (CNG),19900
2016,Indiana,Diesel,156800
2016,Indiana,Flex Fuel (E85),569300
2016,Indiana,Fuel Cell,0
2016,Indiana,Gasoline,4855200
2016,Indiana,Hybrid Electric (HEV),54500
2016,Indiana,Methanol,0
2016,Indiana,Plug-In Hybrid Electric (PHEV),2400
2016,Indiana,Propane,0
2016,Indiana,Unknown,82500
2016,Iowa,Battery Electric (BEV),400
2016,Iowa,Biodiesel,0
2016,Iowa,Compressed Natural Gas (CNG),13400
2016,Iowa,Diesel,107600
2016,Iowa,Flex Fuel (E85),367400
2016,Iowa,Fuel Cell,0
2016,Iowa,Gasoline,2418600
2016,Iowa,Hybrid Electric (HEV),26900
2016,Iowa,Methanol,0
2016,Iowa,Plug-In Hybrid Electric (PHEV),1200
2016,Iowa,Propane,0
2016,Iowa,Unknown,80600
2016,Kansas,Battery Electric (BEV),600
2016,Kansas,Biodiesel,0
2016,Kansas,Compressed Natural Gas (CNG),14200
2016,Kansas,Diesel,90000
2016,Kansas,Flex Fuel (E85),250600
2016,Kansas,Fuel Cell,0
2016,Kansas,Gasoline,2095000
2016,Kansas,Hybrid Electric (HEV),26200
2016,Kansas,Methanol,0
