age_bin,powertrain,vehicle_type,quantile,miles
1.5,all,all,25,6.578487119865658
1.5,all,all,50,110.30881627725061
1.5,all,all,75,1421.7208233101535
4.5,all,all,25,16.030326911224442
4.5,all,all,50,765.1574944109273
4.5,all,all,75,3209.399400835445
7.5,all,all,25,324.61197356475685
7.5,all,all,50,2368.284777464254
7.5,all,all,75,4986.693459437829
10.5,all,all,25,1404.1242198443658
10.5,all,all,50,4119.931453816829
10.5,all,all,75,8555.577702209177
13.5,all,all,25,3247.7028130531944
13.5,all,all,50,6303.947145603273
13.5,all,all,75,12077.409645050182
16.5,all,all,25,4574.7691840704065
16.5,all,all,50,9203.32708418453
16.5,all,all,75,17018.64106796911
19.5,all,all,25,6618.65134958714
19.5,all,all,50,13224.423337802082
19.5,all,all,75,22492.588495391137
22.5,all,all,25,8575.08000100854
22.5,all,all,50,15804.083607916864
22.5,all,all,75,26143.95467733782
25.5,all,all,25,10666.804041671576
25.5,all,all,50,18795.685776620223
25.5,all,all,75,31157.566893451123
28.5,all,all,25,13595.439448244246
28.5,all,all,50,23375.17751241802
28.5,all,all,75,36404.21997943322
31.5,all,all,25,16421.305588150935
31.5,all,all,50,26917.541219459607
31.5,all,all,75,40075.95647545487
34.5,all,all,25,18143.33970195513
34.5,all,all,50,28173.478024838067
34.5,all,all,75,41383.85892070568
37.5,all,all,25,20031.858508441717
37.5,all,all,50,30022.659675275034
37.5,all,all,75,43491.656962259825
40.5,all,all,25,21882.52340010276
40.5,all,all,50,31670.49675633999
40.5,all,all,75,44777.13002502948
43.5,all,all,25,23593.09155021812
43.5,all,all,50,33145.21766119067
43.5,all,all,75,46248.04217055242
46.5,all,all,25,24316.815922275517
46.5,all,all,50,33633.126119355344
46.5,all,all,75,46461.488289104076
49.5,all,all,25,25457.42532832289
49.5,all,all,50,34996.880825499546
49.5,all,all,75,48913.82050151239
52.5,all,all,25,27372.310833407173
52.5,all,all,50,37838.09185133621
52.5,all,all,75,53798.44748442582
55.5,all,all,25,30345.05109870669
55.5,all,all,50,42536.907004818306
55.5,all,all,75,60163.00286481186
58.5,all,all,25,33836.29352186007
58.5,all,all,50,48088.055390438465
58.5,all,all,75,66401.69885233174
61.5,all,all,25,37614.9458030239
61.5,all,all,50,53052.01497584135
61.5,all,all,75,71904.49878767392
64.5,all,all,25,40966.937003620515
64.5,all,all,50,57133.079411226034
64.5,all,all,75,76773.0079011658
67.5,all,all,25,44455.5988019625
67.5,all,all,50,61169.97870438212
67.5,all,all,75,81235.07384318097
70.5,all,all,25,46835.80480349995
70.5,all,all,50,64156.06441794288
70.5,all,all,75,84496.34820223147
73.5,all,all,25,49023.291130737365
73.5,all,all,50,67015.57075483394
73.5,all,all,75,87646.6134477662
76.5,all,all,25,51372.157787193006
76.5,all,all,50,70079.93725404805
76.5,all,all,75,90926.91066423182
79.5,all,all,25,54743.499215601936
79.5,all,all,50,73845.391900404
79.5,all,all,75,94724.68156687703
82.5,all,all,25,56683.87685032286
82.5,all,all,50,76086.59946824366
82.5,all,all,75,97176.41782094518
85.5,all,all,25,58583.38491296827
85.5,all,all,50,78426.35888388769
85.5,all,all,75,99482.41718973628
88.5,all,all,25,60818.29146980698
88.5,all,all,50,81047.6051204659
88.5,all,all,75,102579.78562249341
91.5,all,all,25,64487.02842514314
91.5,all,all,50,84915.99056053993
91.5,all,all,75,106748.66068918971
94.5,all,all,25,65986.71232880754
94.5,all,all,50,86822.1525021821
94.5,all,all,75,109088.21166153681
97.5,all,all,25,67539.98680968235
97.5,all,all,50,88704.11532010743
97.5,all,all,75,111297.81098190523
100.5,all,all,25,69430.5560779397
100.5,all,all,50,90806.21017318513
100.5,all,all,75,114026.25212189637
103.5,all,all,25,72562.79643163348
103.5,all,all,50,94195.08463641506
