make,model,powertrain,vehicle_type,vmt_annual
Acura,MDX,Gasoline,CUV,11334.421334442852
Acura,RDX,Gasoline,CUV,10640.250403805645
Acura,TL,Gasoline,Car,8155.314969560939
Acura,TLX,Gasoline,Car,11107.978004156856
Alfa Romeo,Tonale,Plug-In Hybrid Electric (PHEV),CUV,7538.851755853624
Audi,A3,Diesel,Car,8582.208720654271
Audi,A3 Sedan,Diesel,Car,10542.386653007296
Audi,A3 Sportback e-tron,Plug-In Hybrid Electric (PHEV),Car,8538.214920823948
Audi,A4,Flex Fuel (E85),Car,9182.229740745157
Audi,A4,Gasoline,Car,9070.911207143412
Audi,A5,Flex Fuel (E85),Car,8032.276655446883
Audi,A5 Cabriolet,Flex Fuel (E85),Car,6814.5495847068605
Audi,A5 Coupe,Flex Fuel (E85),Car,9334.362640497331
Audi,A6,Diesel,Car,10496.193155237579
Audi,A7,Diesel,Car,8872.741215637265
Audi,A8,Diesel,Car,10029.726918570426
Audi,Allroad,Flex Fuel (E85),Car,9482.74776353522
Audi,Q3,Gasoline,CUV,9900.509851405588
Audi,Q4 e-tron,Battery Electric (BEV),CUV,8432.481509771707
Audi,Q5,Diesel,CUV,10930.555521986684
Audi,Q5,Flex Fuel (E85),CUV,9364.199183085235
Audi,Q5,Gasoline,CUV,9837.982408385727
Audi,Q5,Hybrid Electric (HEV),CUV,9869.746725725141
Audi,Q7,Diesel,CUV,9517.778638416428
Audi,Q7,Gasoline,CUV,10786.74542842281
Audi,Q8 e-tron,Battery Electric (BEV),CUV,7229.527166631946
Audi,e-tron,Battery Electric (BEV),CUV,7204.207836165374
Audi,e-tron Gt,Battery Electric (BEV),Car,6699.1947469672705
Audi,e-tron Sportback,Battery Electric (BEV),CUV,7126.379328758302
BMW,3 Series,Diesel,Car,10079.677544869575
BMW,3 Series,Gasoline,Car,8541.106647655077
BMW,3 Series,Hybrid Electric (HEV),Car,8824.92938546848
BMW,4 Series,Gasoline,Car,8355.434049762018
BMW,5 Series,Diesel,Car,9880.817502943275
BMW,5 Series,Gasoline,Car,9275.70231717912
BMW,5 Series,Hybrid Electric (HEV),Car,9543.191413447415
BMW,IX,Battery Electric (BEV),CUV,7666.862447811142
BMW,X1,Gasoline,CUV,9647.875406081628
BMW,X3,Diesel,CUV,10244.022190311754
BMW,X3,Gasoline,CUV,9564.839569390018
BMW,X3,Hybrid Electric (HEV),CUV,8841.440990045867
BMW,X5,Diesel,CUV,10000.543997307921
BMW,X5,Gasoline,CUV,9763.910215430693
BMW,X5,Plug-In Hybrid Electric (PHEV),CUV,9100.845383743217
BMW,X7,Gasoline,SUV,10279.703790625941
BMW,XM,Plug-In Hybrid Electric (PHEV),CUV,6485.121253097012
BMW,i3,Battery Electric (BEV),Car,5551.9530630911595
BMW,i3,Hybrid Electric (HEV),Car,6814.858512922612
BMW,i4,Battery Electric (BEV),Car,8871.389146602898
BMW,i5,Battery Electric (BEV),Car,5332.51278203168
BMW,i7,Battery Electric (BEV),Car,6514.654715057076
BMW,i8,Plug-In Hybrid Electric (PHEV),Car,4196.999355887125
Bentley,Bentayga,Hybrid Electric (HEV),SUV,7175.519836079686
Buick,Enclave,Gasoline,CUV,11198.731089740228
Buick,Encore,Gasoline,CUV,9747.753129976452
Buick,Encore Gx,Flex Fuel (E85),CUV,18440.72263903106
Buick,Encore Gx,Gasoline,CUV,8633.323811342427
Buick,Envision,Gasoline,CUV,10073.246612509285
Buick,Envista,Flex Fuel (E85),CUV,16391.43982026177
Buick,Lacrosse,Flex Fuel (E85),Car,7828.70966369513
Buick,Lacrosse,Hybrid Electric (HEV),Car,8615.923715957517
Buick,Lucerne,Flex Fuel (E85),Car,4302.358770702119
Buick,Regal,Flex Fuel (E85),Car,6643.2267524270355
Buick,Verano,Flex Fuel (E85),Car,6632.341996499923
Cadillac,ATS,Flex Fuel (E85),Car,7853.640416225197
Cadillac,CTS Sedan,Flex Fuel (E85),Car,7743.870403883444
Cadillac,ELR,Plug-In Hybrid Electric (PHEV),Car,6607.550630860574
Cadillac,Escalade,Diesel,SUV,13930.8764455884
Cadillac,Escalade,Flex Fuel (E85),SUV,8678.926489528707
Cadillac,Escalade,Gasoline,SUV,10918.05289025649
Cadillac,Escalade,Hybrid Electric (HEV),SUV,5030.839158697695
Cadillac,Escalade ESV,Diesel,SUV,16397.354265530303
Cadillac,Escalade ESV,Flex Fuel (E85),SUV,9395.883063420431
Cadillac,Escalade ESV,Gasoline,SUV,11917.860521698689
Cadillac,Escalade Iq,Battery Electric (BEV),SUV,5357.671681994323
Cadillac,Lyriq,Battery Electric (BEV),CUV,7825.345418343129
Cadillac,SRX,Flex Fuel (E85),CUV,7382.87300962012
Cadillac,SRX,Gasoline,CUV,9013.985965997366
Cadillac,Xt5,Gasoline,CUV,9619.233470753006
Chevrolet,Avalanche,Flex Fuel (E85),Pickup,8060.582133282609
Chevrolet,Avalanche,Gasoline,Pickup,7169.260518145717
