powertrain,vehicle_type,vmt_annual
Battery Electric (BEV),CUV,9805.068050540413
Battery Electric (BEV),Car,6710.569070495101
Battery Electric (BEV),Minivan,5523.487136531728
Battery Electric (BEV),Pickup,9538.308174593954
Battery Electric (BEV),SUV,7433.105163938075
Diesel,CUV,10124.972070529964
Diesel,Car,10112.00158987498
Diesel,Minivan,4841.334231542487
Diesel,Pickup,12466.379035039485
Diesel,SUV,10947.811287053226
Flex Fuel (E85),CUV,10128.634192348736
Flex Fuel (E85),Car,8438.850001252766
Flex Fuel (E85),Minivan,9353.720218719245
Flex Fuel (E85),Pickup,10736.70317909285
Flex Fuel (E85),SUV,11335.892773871507
Fuel Cell,CUV,6767.563395235309
Fuel Cell,Car,8357.549264407999
Gasoline,CUV,10629.132262604142
Gasoline,Car,9305.831994455377
Gasoline,Minivan,10311.183829248537
Gasoline,Pickup,11293.80440165648
Gasoline,SUV,10511.264647288863
Hybrid Electric (HEV),CUV,10947.692992452121
Hybrid Electric (HEV),Car,9829.54356935914
Hybrid Electric (HEV),Minivan,9309.92376352537
Hybrid Electric (HEV),Pickup,12742.625634611062
Hybrid Electric (HEV),SUV,11749.63401902406
Plug-In Hybrid Electric (PHEV),CUV,9861.26038806186
Plug-In Hybrid Electric (PHEV),Car,9157.373123100135
Plug-In Hybrid Electric (PHEV),Minivan,28822.058300261313
Plug-In Hybrid Electric (PHEV),SUV,9348.44670160062
