powertrain,vehicle_type,quantile,miles
All,All,1,2.7421799381257967
All,All,2,4.705900045505894
All,All,3,6.1164530929856
All,All,4,7.278726815500761
All,All,5,8.253156836103257
All,All,6,9.154716868701295
All,All,7,9.947628393274387
All,All,8,10.670312166995519
All,All,9,11.35742134370483
All,All,10,12.005713439292284
All,All,11,12.600045373402427
All,All,12,13.148236453326872
All,All,13,13.684569791995123
All,All,14,14.15547835500722
All,All,15,14.63031832561656
All,All,16,15.120911543963306
All,All,17,15.592897352433516
All,All,18,16.035427940218685
All,All,19,16.455770584940016
All,All,20,16.831504182889898
All,All,21,17.210142476169114
All,All,22,17.605342827956335
All,All,23,17.999857569352283
All,All,24,18.38536516417796
All,All,25,18.770872759003634
All,All,26,19.123111056739383
All,All,27,19.46423959792389
All,All,28,19.80509372099539
All,All,29,20.144000254408773
All,All,30,20.482906787822156
All,All,31,20.821679960695498
All,All,32,21.160368839574065
All,All,33,21.494384786957635
All,All,34,21.820586198064426
All,All,35,22.14704107500376
All,All,36,22.477161455398726
All,All,37,22.807281835793685
All,All,38,23.131788992992576
All,All,39,23.44757264887012
All,All,40,23.76335630474767
All,All,41,24.07553454143014
All,All,42,24.383875503223514
All,All,43,24.692216465016884
All,All,44,25.009302292629453
All,All,45,25.330945652802217
All,All,46,25.65258901297498
All,All,47,25.977491667827778
All,All,48,26.30249218182283
All,All,49,26.62970830694905
All,All,50,26.96583458682806
All,All,51,27.301960866707073
All,All,52,27.63556832615016
All,All,53,27.966062960606386
All,All,54,28.29655759506262
All,All,55,28.60070921576286
All,All,56,28.9014577991462
All,All,57,29.264451860140635
All,All,58,29.652545428931354
All,All,59,30.03903231378534
All,All,60,30.423200495411333
All,All,61,30.807368677037328
All,All,62,31.16468769930737
All,All,63,31.5125518666586
All,All,64,31.89428384760154
All,All,65,32.33736692343722
All,All,66,32.769073394956045
All,All,67,33.1547803862683
All,All,68,33.540487377580554
All,All,69,33.958806238692645
All,All,70,34.38503662394382
All,All,71,34.829263283852136
All,All,72,35.33432112621706
All,All,73,35.83937896858199
All,All,74,36.290810260818255
All,All,75,36.73858931035728
All,All,76,37.25210287923522
All,All,77,37.790622759291686
All,All,78,38.321653893366175
All,All,79,38.844955240771874
All,All,80,39.40902213579522
All,All,81,40.00634514940823
All,All,82,40.650017621455405
All,All,83,41.31689153852071
All,All,84,42.0551895848295
All,All,85,42.78003808852233
All,All,86,43.49018076833898
All,All,87,44.341006157896636
All,All,88,45.21851269297379
All,All,89,46.06324349989357
All,All,90,47.13676090063801
All,All,91,48.324780941281794
All,All,92,49.52476435302555
All,All,93,50.82433326233165
All,All,94,52.29621621738299
All,All,95,54.13223218658636
All,All,96,56.39334418343664
All,All,97,59.272199527251914
All,All,98,63.410529576887015
All,All,99,70.49635796192953
All,CUV,1,2.9131720474456384
All,CUV,2,4.902519860223525
All,CUV,3,6.197780032368223
All,CUV,4,7.2407250105920555
All,CUV,5,8.254572229290561
All,CUV,6,9.035024872666051
All,CUV,7,9.762324320080499
All,CUV,8,10.452255489044589
All,CUV,9,11.089163365188696
All,CUV,10,11.668486697895665
All,CUV,11,12.208195452646438
All,CUV,12,12.735012828834217
All,CUV,13,13.231104242041514
All,CUV,14,13.713938353352065
All,CUV,15,14.16692443977712
All,CUV,16,14.614585465728057
All,CUV,17,15.051923763296035
All,CUV,18,15.470314760976867
All,CUV,19,15.868733868922677
All,CUV,20,16.250653899471164
All,CUV,21,16.6196335541722
All,CUV,22,16.98635548121145
All,CUV,23,17.350132323021434
All,CUV,24,17.698894945589934
All,CUV,25,17.991754390326392
All,CUV,26,18.308963019057153
All,CUV,27,18.67454996014696
All,CUV,28,19.02669276807983
All,CUV,29,19.340267054469656
All,CUV,30,19.654070823992747
All,CUV,31,19.97897906109348
All,CUV,32,20.303887298194216
All,CUV,33,20.626960734048097
All,CUV,34,20.949700105726258
All,CUV,35,21.26542245983553
All,CUV,36,21.555667231077365
All,CUV,37,21.8459120023192
All,CUV,38,22.13142813296767
All,CUV,39,22.409951247996847
All,CUV,40,22.690866198580537
All,CUV,41,22.988394092325716
All,CUV,42,23.286752911139775
All,CUV,43,23.590865241955672
All,CUV,44,23.894977572771573
All,CUV,45,24.216556388228547
All,CUV,46,24.540378194973375
All,CUV,47,24.852217745335164
All,CUV,48,25.135480801208853
All,CUV,49,25.418743857082546
All,CUV,50,25.715728204965785
All,CUV,51,26.0282151360523
All,CUV,52,26.340702067138817
All,CUV,53,26.66105929261603
All,CUV,54,26.985175831286632
All,CUV,55,27.309292369957237
All,CUV,56,27.61655820470109
All,CUV,57,27.923322759042236
All,CUV,58,28.235255448713815
All,CUV,59,28.558184142043814
All,CUV,60,28.881112835373813
All,CUV,61,29.23155353600469
All,CUV,62,29.595114448776375
All,CUV,63,29.956914105764366
All,CUV,64,30.308493703201762
All,CUV,65,30.66007330063916
All,CUV,66,31.034297785472997
All,CUV,67,31.415977497004633
All,CUV,68,31.798017446185373
All,CUV,69,32.181770183153176
All,CUV,70,32.565522920120976
All,CUV,71,32.964718999015204
All,CUV,72,33.37220495164281
All,CUV,73,33.80616349727256
All,CUV,74,34.249523066991564
All,CUV,75,34.72182450231339
All,CUV,76,35.20457056313615
All,CUV,77,35.689554658141404
All,CUV,78,36.17968137074469
All,CUV,79,36.66980808334797
All,CUV,80,37.22493645996399
All,CUV,81,37.78657831766576
All,CUV,82,38.37215122314939
All,CUV,83,38.964116084060386
All,CUV,84,39.63163534448408
All,CUV,85,40.316152635574355
All,CUV,86,41.08528539206051
All,CUV,87,41.87200193035363
All,CUV,88,42.62848832435998
All,CUV,89,43.424848751699294
All,CUV,90,44.315678959585156
All,CUV,91,45.37018318304945
All,CUV,92,46.52193857449601
All,CUV,93,47.80855997198188
All,CUV,94,49.22446088761802
All,CUV,95,50.832719661054746
All,CUV,96,52.89845092172141
All,CUV,97,55.373479097118064
All,CUV,98,58.799726171157225
All,CUV,99,65.76293735054745
All,Car,1,2.494038930955297
All,Car,2,4.187499296714875
All,Car,3,5.489804806998422
All,Car,4,6.59352739213723
All,Car,5,7.547485836079078
All,Car,6,8.395921795092473
All,Car,7,9.173440409013956
All,Car,8,9.887127608742608
All,Car,9,10.546945087414109
All,Car,10,11.154506245502976
All,Car,11,11.71482454564292
All,Car,12,12.288188105293367
All,Car,13,12.841896683860272
All,Car,14,13.33402920919883
All,Car,15,13.822095472248149
All,Car,16,14.305027833955076
All,Car,17,14.75404909116503
All,Car,18,15.170849849970208
All,Car,19,15.58889890036938
All,Car,20,16.00816244265373
All,Car,21,16.41231230143065
All,Car,22,16.79750389315433
All,Car,23,17.174233417442935
All,Car,24,17.531685346645816
All,Car,25,17.8964401962996
All,Car,26,18.280361155748924
All,Car,27,18.664130382385608
All,Car,28,18.998014710057003
All,Car,29,19.331899037728395
All,Car,30,19.665675828364826
All,Car,31,19.999337422511527
All,Car,32,20.33299901665823
All,Car,33,20.670075720639527
All,Car,34,21.007370726678023
All,Car,35,21.332515790736068
All,Car,36,21.64105799853995
All,Car,37,21.950825994554584
All,Car,38,22.276762069810786
All,Car,39,22.602698145066988
All,Car,40,22.913414204655744
All,Car,41,23.217928680523002
All,Car,42,23.529419197305938
All,Car,43,23.85401532290172
All,Car,44,24.178611448497502
All,Car,45,24.48552733017616
All,Car,46,24.792400976136715
All,Car,47,25.120333733813155
All,Car,48,25.454696406329322
All,Car,49,25.790055213063116
All,Car,50,26.127464014067936
All,Car,51,26.464872815072756
All,Car,52,26.79851825655698
All,Car,53,27.129276409942214
All,Car,54,27.460034563327447
All,Car,55,27.802776800978222
All,Car,56,28.148982408053584
All,Car,57,28.49518801512894
All,Car,58,28.85181008134865
All,Car,59,29.208475529249757
All,Car,60,29.57369455076249
All,Car,61,29.95885437438771
All,Car,62,30.34401419801292
All,Car,63,30.73997228063472
All,Car,64,31.143885312364954
All,Car,65,31.54779834409519
All,Car,66,31.961731671353572
All,Car,67,32.37627436718002
All,Car,68,32.79930066196144
All,Car,69,33.244784040788815
All,Car,70,33.69026741961619
All,Car,71,34.11847622657603
All,Car,72,34.52757951127955
All,Car,73,34.95581296697859
All,Car,74,35.48502327746013
All,Car,75,36.013549919916265
All,Car,76,36.5390979581646
All,Car,77,37.06464599641293
All,Car,78,37.62694484965369
All,Car,79,38.19168301391771
All,Car,80,38.77611591946176
All,Car,81,39.36576704230348
All,Car,82,40.0476450229
All,Car,83,40.7591208470218
All,Car,84,41.42092773115832
All,Car,85,42.05947143092646
All,Car,86,42.8550400326438
All,Car,87,43.711399215508365
All,Car,88,44.51536678139355
All,Car,89,45.30089254281039
All,Car,90,46.39615443464446
All,Car,91,47.48073396976821
All,Car,92,48.60363933190288
All,Car,93,49.88101097786196
All,Car,94,51.460392147344
All,Car,95,53.06332401171555
All,Car,96,55.318298158113976
All,Car,97,57.88430179840881
