powertrain,year,median,q25,q75,IQR,upper,lower
bev,2018,0.5119963784517881,0.4450229071220325,0.675334713751333,0.2303118066293005,1.0208024236952837,0.09955519717808176
bev,2024,0.12919764953285653,0.10054499062895295,0.2164552095347943,0.11591021890584136,0.39032053789355636,-0.07332033772980909
cv,2018,0.09636279072865664,0.08125018413246728,0.14206034158092912,0.06081015744846184,0.23327557775362187,-0.009965052040225478
cv,2024,0.11438549159806265,0.09001867530108322,0.16828304357730706,0.07826436827622384,0.28567959599164283,-0.027377877113252527
flex,2018,0.3787106868217313,0.3066666666666667,0.49748986549974505,0.19082319883307836,0.7837246637493626,0.020431868417049193
flex,2024,0.551416206428248,0.44650939592032834,0.6842682297965541,0.23775883387622576,1.0409064806108927,0.0898711451059897
hev,2018,0.31717860650328034,0.24798339674852996,0.42638011895396627,0.17839672220543631,0.6939752022621207,-0.019611686559624503
hev,2024,0.28224999857326477,0.23845939110847006,0.3758010738926826,0.13734168278421252,0.5818135980690013,0.03244686693215129
phev,2018,0.42155612244897955,0.33172375635028417,0.5647265141791886,0.23300275782890445,0.9142306509225453,-0.017780380393072504
phev,2024,0.5648,0.47205707491082044,0.6951545778834721,0.22309750297265168,1.0298008323424497,0.13741082045184289
