powertrain,year,median,q25,q75,IQR,upper,lower
bev,2018,0.5116663361755569,0.44148556269768385,0.6454293628808865,0.20394380018320263,0.9513450631556905,0.13556986242287988
bev,2024,0.30000000000000004,0.2831816755399389,0.3257477486330316,0.04256607309309268,0.3895968582726706,0.21933256590029987
cv,2018,0.22472790086349093,0.21416795234142136,0.23970600259762787,0.025538050256206507,0.27801307798193764,0.1758608769571116
cv,2024,0.22914809660121296,0.21852238334792862,0.2402347884785485,0.021712405130619894,0.27280339617447835,0.18595377565199878
flex,2018,0.2481235015120421,0.23031653117441547,0.2775678662810943,0.04725133510667884,0.3484448689411126,0.15943952851439722
flex,2024,0.6266233072749798,0.47742314715359835,0.772290223131162,0.2948670759775637,1.2145908370975076,0.035122533187252836
hev,2018,0.3119223433908748,0.2808941212680825,0.35507996352615206,0.07418584225806957,0.4663587269132564,0.16961535788097815
hev,2024,0.28339722401398354,0.2609351581141914,0.3505399311736087,0.08960477305941733,0.4849470907627347,0.12652799852506538
phev,2018,0.45189018632896816,0.40046968510896186,0.5138888888888888,0.11341920377992698,0.6840176945587793,0.2303408794390714
phev,2024,0.5,0.4586776859504132,0.5617283950617284,0.10305070911131525,0.7163044587287013,0.3041016222834403
