powertrain,vehicle_type,year_2018,year_2024
bev,car,0.9929900503941078,0.1385110778158018
bev,cuv,0.006008528233621915,0.7644557674406854
bev,minivan,0.0010014213722703191,0.001813104489619831
bev,pickup,0,0.07409437082553581
cv,car,0.2964624821132753,0.20040946762711176
cv,cuv,0.37064030929468506,0.4784199121328977
cv,minivan,0.025605343483683547,0.014632310002256335
cv,pickup,0.1909586421317215,0.20070204294753688
cv,suv,0.11633322297663459,0.10583626729019731
hev,car,0.6431176330127857,0.3052091573466076
hev,cuv,0.2738294223630799,0.4602705014502634
hev,minivan,0.07728959993053595,0.1869071124002341
hev,pickup,0.005763344693598455,0.00188437767301867
phev,car,0.6892984728928669,0.613506959088992
hev,suv,0,0.045728851129876284
phev,cuv,0.31070152710713306,0.386493040911008
bev,suv,0,0.021125679428357108
