vehicle_type,powertrain,year_2018,year_2024
car,bev,0.011874336537525515,0.03152332361516035
cuv,bev,6.053918936072569e-5,0.07184698806425224
minivan,bev,1.3968116647291537e-4,0.003940782665624802
pickup,bev,0,0.018350601996773436
car,cv,0.9287817940488865,0.9003638123071698
cuv,cv,0.9783644003528198,0.8876009477587529
minivan,cv,0.9356880874494219,0.6278051149922916
pickup,cv,0.9993147277397824,0.9812263446263076
suv,cv,1,0.970918292702751
car,hev,0.04577833129626854,0.0629661538679272
cuv,hev,0.01642304525141665,0.03921312572451255
suv,bev,0,0.009817627477435984
minivan,hev,0.06417223138410519,0.3682541023420836
pickup,hev,6.852722602176223e-4,4.230533769189008e-4
car,phev,0.01356553811731948,0.005146710209742705
suv,hev,0,0.019264079819812985
cuv,phev,0.0051520152064028326,0.0013389384524822962
