powertrain,vehicle_type,quantile,dvmt
all,all,1,2.78262133777132
all,all,2,4.745790041667485
all,all,3,6.1722430245198705
all,all,4,7.327212766077803
all,all,5,8.317126161068666
all,all,6,9.192890491533252
all,all,7,9.983688810734048
all,all,8,10.705968342616565
all,all,9,11.374734779359596
all,all,10,11.996691063772607
all,all,11,12.581462880897913
all,all,12,13.13313157339752
all,all,13,13.657992149631925
all,all,14,14.159231448785073
all,all,15,14.637443812540837
all,all,16,15.098599139870544
all,all,17,15.54217139039755
all,all,18,15.971527334568323
all,all,19,16.387526837302083
all,all,20,16.79108471911416
all,all,21,17.18450236133651
all,all,22,17.566093429158112
all,all,23,17.93916920848202
all,all,24,18.305871473867903
all,all,25,18.664489381089073
all,all,26,19.01647570931025
all,all,27,19.362380538866393
all,all,28,19.7038687776549
all,all,29,20.040394438234767
all,all,30,20.372339177919788
all,all,31,20.700865032816417
all,all,32,21.026843529194725
all,all,33,21.34961916765868
all,all,34,21.670128544468312
all,all,35,21.98819458924474
all,all,36,22.30439068566707
all,all,37,22.618723900878827
all,all,38,22.93254881673472
all,all,39,23.244720739667954
all,all,40,23.556637867718777
all,all,41,23.868943137673995
all,all,42,24.18142674918804
all,all,43,24.49403625856916
all,all,44,24.807088277917373
all,all,45,25.121593931941653
all,all,46,25.436946384840248
all,all,47,25.753462336668825
all,all,48,26.071722180720677
all,all,49,26.391514343858347
all,all,50,26.713596891142245
all,all,51,27.03800640384157
all,all,52,27.364769551959057
all,all,53,27.694586092628285
all,all,54,28.027596776738232
all,all,55,28.362468983771365
all,all,56,28.701684389378872
all,all,57,29.045134973669946
all,all,58,29.3926776705695
all,all,59,29.744669679584693
all,all,60,30.102216689032968
all,all,61,30.464264177156245
all,all,62,30.831877286015253
all,all,63,31.20505764927394
all,all,64,31.5849147824702
all,all,65,31.970789584655023
all,all,66,32.36496826511137
all,all,67,32.766552994089025
all,all,68,33.176010882090466
all,all,69,33.595954589440396
all,all,70,34.02447297672013
all,all,71,34.46399782782086
all,all,72,34.91585544105699
all,all,73,35.3785572987348
all,all,74,35.854780388779865
all,all,75,36.34543255625984
all,all,76,36.85188115485394
all,all,77,37.37410522081395
all,all,78,37.914474595260906
all,all,79,38.47318425138402
all,all,80,39.05378505374246
all,all,81,39.65630730208767
all,all,82,40.282918514062004
all,all,83,40.93936932787479
all,all,84,41.62678850006928
all,all,85,42.351202151155796
all,all,86,43.11508450481756
all,all,87,43.92402042439504
all,all,88,44.78668272553818
all,all,89,45.71070043349303
all,all,90,46.71286427641961
all,all,91,47.80676181543168
all,all,92,49.01474201904083
all,all,93,50.36665622149942
all,all,94,51.90881067006051
all,all,95,53.71539066483155
all,all,96,55.91083281600688
all,all,97,58.73369981331486
all,all,98,62.77100697938414
all,all,99,69.91650815582655
bev,car,1,0.9900627612788069
bev,car,2,2.2031234922278338
bev,car,3,3.190151137638387
bev,car,4,4.020402462679805
bev,car,5,4.71985818624968
bev,car,6,5.333436699595244
bev,car,7,5.876879414131208
bev,car,8,6.36292334492549
bev,car,9,6.806494558642693
bev,car,10,7.211284979204494
bev,car,11,7.6144170467705905
bev,car,12,7.989745350648991
bev,car,13,8.351167248672727
bev,car,14,8.701074102020446
bev,car,15,9.032814919509045
bev,car,16,9.35111622281382
bev,car,17,9.65601428834319
bev,car,18,9.955162767825868
bev,car,19,10.247726519264397
bev,car,20,10.527883897378858
bev,car,21,10.803523783137068
bev,car,22,11.073748651155631
bev,car,23,11.336904688102557
bev,car,24,11.601163225867579
bev,car,25,11.860370619554505
bev,car,26,12.11857236916036
bev,car,27,12.366060900429668
bev,car,28,12.616274353867936
bev,car,29,12.858324722937848
bev,car,30,13.098423039915076
bev,car,31,13.338689997916855
bev,car,32,13.57922696692367
bev,car,33,13.814814039665446
bev,car,34,14.052022390692464
bev,car,35,14.281797164349221
bev,car,36,14.506791200391111
bev,car,37,14.738820975874717
bev,car,38,14.968032147641338
bev,car,39,15.202291653520849
bev,car,40,15.435431311081928
bev,car,41,15.66646001800196
bev,car,42,15.900833615313543
bev,car,43,16.13353213002981
bev,car,44,16.368238193133934
bev,car,45,16.602073397583148
bev,car,46,16.832584781336177
bev,car,47,17.071147126903817
bev,car,48,17.304106275381763
bev,car,49,17.534718839969145
bev,car,50,17.775790417130004
bev,car,51,18.011401308115808
bev,car,52,18.254568967057462
bev,car,53,18.50839663085401
bev,car,54,18.755457284278915
bev,car,55,19.00435111926157
bev,car,56,19.253082499067865
bev,car,57,19.51218839122177
bev,car,58,19.780575995627935
bev,car,59,20.045382367840407
bev,car,60,20.3214343986284
bev,car,61,20.597656014902906
bev,car,62,20.874775674838293
bev,car,63,21.160282905325914
bev,car,64,21.456135040638443
bev,car,65,21.756629690719418
bev,car,66,22.064411422997036
bev,car,67,22.371979189784128
bev,car,68,22.692953620521713
bev,car,69,23.023423696724674
bev,car,70,23.35825939001127
bev,car,71,23.708692429578534
bev,car,72,24.068613204751856
bev,car,73,24.451955201330662
bev,car,74,24.83135360729363
bev,car,75,25.236220943038433
bev,car,76,25.669917864476385
bev,car,77,26.12044317497534
bev,car,78,26.58827370211354
bev,car,79,27.07395610088635
bev,car,80,27.58650923075929
bev,car,81,28.12884417888114
bev,car,82,28.706253826480435
bev,car,83,29.297207880710456
bev,car,84,29.9406315222614
bev,car,85,30.629568116559987
bev,car,86,31.392229377814544
bev,car,87,32.2377344798428
bev,car,88,33.16208705078026
bev,car,89,34.16992352994317
bev,car,90,35.320454073918704
bev,car,91,36.665589384994895
bev,car,92,38.189651507879546
bev,car,93,40.0210750617959
bev,car,94,42.280510848084894
bev,car,95,45.1974395525311
bev,car,96,49.141490247626976
bev,car,97,54.63880281012088
bev,car,98,62.904489587161514
bev,car,99,76.55675798933201
bev,cuv,1,0.27419815068256426
bev,cuv,2,0.7173055712977581
bev,cuv,3,1.2032226186162347
bev,cuv,4,1.707247340456299
bev,cuv,5,2.228225685546975
bev,cuv,6,2.725667017869407
bev,cuv,7,3.2077860545808177
bev,cuv,8,3.6502831279594297
bev,cuv,9,4.081951876397093
bev,cuv,10,4.490387318424328
bev,cuv,11,4.887983996203275
bev,cuv,12,5.274687787040987
bev,cuv,13,5.640718018399407
bev,cuv,14,5.9958932238193015
bev,cuv,15,6.352208217773572
bev,cuv,16,6.696959901945581
bev,cuv,17,7.038906308234982
bev,cuv,18,7.372266170248569
bev,cuv,19,7.701027195152502
bev,cuv,20,8.019635553187774
bev,cuv,21,8.34061246322328
bev,cuv,22,8.66687945930903
bev,cuv,23,8.98732315508095
bev,cuv,24,9.29273189709567
bev,cuv,25,9.605524467921924
bev,cuv,26,9.904642625497658
bev,cuv,27,10.21205849760186
bev,cuv,28,10.508527782407036
bev,cuv,29,10.805384835295975
bev,cuv,30,11.10070485682114
bev,cuv,31,11.392572906311315
bev,cuv,32,11.693108303267223
bev,cuv,33,11.97768383018631
bev,cuv,34,12.26174865115421
bev,cuv,35,12.544174627143677
bev,cuv,36,12.83217179569629
bev,cuv,37,13.119979887635711
bev,cuv,38,13.405562282084786
bev,cuv,39,13.701517538695866
bev,cuv,40,13.98877520714275
bev,cuv,41,14.27059160811373
bev,cuv,42,14.54684693726046
bev,cuv,43,14.822915615615624
bev,cuv,44,15.103003998833177
bev,cuv,45,15.386148585534656
bev,cuv,46,15.667653215178424
bev,cuv,47,15.953365449406473
bev,cuv,48,16.235326573401426
bev,cuv,49,16.519448550069786
bev,cuv,50,16.80265607959504
bev,cuv,51,17.092700806796064
bev,cuv,52,17.382801471622727
bev,cuv,53,17.67934103387555
bev,cuv,54,17.97295977418172
bev,cuv,55,18.263824934079423
bev,cuv,56,18.56057616184913
bev,cuv,57,18.86120990197843
bev,cuv,58,19.16021113643306
bev,cuv,59,19.463312067255394
bev,cuv,60,19.760879856626886
bev,cuv,61,20.066785798034804
bev,cuv,62,20.376453869526948
bev,cuv,63,20.696330707489295
bev,cuv,64,21.018956076803402
bev,cuv,65,21.35209967879381
bev,cuv,66,21.6883258360303
bev,cuv,67,22.04097361345029
bev,cuv,68,22.385515498551204
bev,cuv,69,22.73641895213928
bev,cuv,70,23.083157675907724
bev,cuv,71,23.46299213106306
bev,cuv,72,23.84282028758128
bev,cuv,73,24.229469839900105
bev,cuv,74,24.61161719998745
bev,cuv,75,25.04250846347144
bev,cuv,76,25.476313571318506
bev,cuv,77,25.90356111756994
bev,cuv,78,26.354933396809713
bev,cuv,79,26.834018536958308
bev,cuv,80,27.329071649365922
bev,cuv,81,27.825176226395065
bev,cuv,82,28.358762716870523
